,CatalogProfile,FeatureName,InspPointName,NWT,MAWT,FirstWT,LastWt,MeasCrRate,Allowable-Stress-Value,Corrosion-Allowance,Design-Code,Design-Pressure,Design-Temperature,Material-Specification,Material-Type,NominalOutsideDiameter,Nominal-Wall-Thickness,Operating-Pressure,Operating-Temperature,Quality-Factor,Kavg,MassButane,MassCOTwo,MassEthane,MassiButane,MassiPentane,MassMethane,MassnHeptane,MassNitrogen,MassPentane,MassPropane,MassWater,MWButane,MWCOTwo,MWEthane,MWiButane,MWiPentane,MWMethane,MWnHeptane,MWNITROGEN,MWPentane,MWPropane,MWWater,Matcat,Mattyp,SumofMass,SumofMW,Volumeofrelease
34678,PI,PIPE,DL-P1,7.11,3.57,8.2,7.05,0.189,206842.71,0.0,ASME B31.3,8928.71,121.11,A790 Gr S31803,AFS,150.0,7.11,5102.12,110.0,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,AFS,2932.966,29.329836,0.023
34680,PI,PIPE,P1,7.11,3.57,8.2,7.05,0.189,206842.71,0.0,ASME B31.3,8928.71,121.11,A790 Gr S31803,AFS,150.0,7.11,5102.12,110.0,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,AFS,2932.966,29.329836,0.023
34692,PI,PIPE,P1,3.91,1.8,3.68,3.68,0.0,206842.71,0.0,ASME B31.3,1654.74,121.11,A790 Gr S31803,AFS,50.0,3.91,482.63,98.89,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,DSS,AFS,2797.19,27.972157,0.004
34693,PI,PIPE 2,P2,3.38,1.8,3.51,3.51,0.0,206842.71,0.0,ASME B31.3,1654.74,121.11,A790 Gr S31803,AFS,25.0,3.38,482.63,98.89,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,DSS,AFS,2797.19,27.972157,0.004
34694,PI,PIPE,P2,5.49,2.01,5.58,5.58,0.0,206842.71,0.0,ASME B31.3,9549.24,121.11,A790 Gr S31803,AFS,80.0,5.49,5653.7,98.89,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,AFS,2932.967,29.329836,0.002
34695,PI,PIPE,P2,5.49,2.01,5.54,5.54,0.0,206842.71,0.0,ASME B31.3,9549.24,121.11,A790 Gr S31803,AFS,80.0,5.49,5653.7,98.89,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,AFS,2932.967,29.329836,0.002
34696,PI,PIPE,P2,5.49,2.01,5.5,5.5,0.0,206842.71,0.0,ASME B31.3,9549.24,121.11,A790 Gr S31803,AFS,80.0,5.49,5653.7,98.89,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,AFS,2932.967,29.329836,0.002
34697,PI,PIPE,P1,5.49,2.01,5.58,5.58,0.0,206842.71,0.0,ASME B31.3,9549.24,121.11,A790 Gr S31803,AFS,80.0,5.49,5653.7,98.89,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,AFS,2932.967,29.329836,0.002
34698,PI,PIPE,P1,5.49,2.01,5.54,5.54,0.0,206842.71,0.0,ASME B31.3,9549.24,121.11,A790 Gr S31803,AFS,80.0,5.49,5653.7,98.89,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,AFS,2932.967,29.329836,0.002
34699,PI,PIPE,P1,5.49,2.01,5.5,5.5,0.0,206842.71,0.0,ASME B31.3,9549.24,121.11,A790 Gr S31803,AFS,80.0,5.49,5653.7,98.89,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,AFS,2932.967,29.329836,0.002
